task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Website update volunteer needed,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,Bihar,None,4,168,11,low,Medium
Emergency blood donors required immediately,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,Karnataka,Cyclone,6,2,20,critical,Critical
Sanitation volunteers needed at relief camp,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Guwahati,None,3,18,21,high,High
Skill training session support volunteers,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Himachal Pradesh,Flood,8,48,11,medium,Medium
Urgent medical volunteers needed at flood relief camp,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,Assam,Earthquake,1,2,2,high,Critical
Urgent rescue operation – volunteers needed immediately,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,West Bengal,Flood,1,8,18,critical,Critical
Volunteers needed tomorrow for ration distribution,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Medical,Himachal Pradesh,None,5,24,11,medium,High
Immediate evacuation support needed in cyclone area,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,West Bengal,Cyclone,3,8,1,high,Critical
Website update volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Awareness,Bihar,None,1,504,11,low,Low
Community kitchen volunteers needed this week,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Andhra Pradesh,None,5,72,12,medium,Medium
Admin assistance for NGO office next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Fundraising,Madhya Pradesh,None,1,240,16,low,Medium
Emergency relief – medical camp setup tonight,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Karnataka,Cyclone,2,12,10,critical,Critical
Video editing volunteer for awareness campaign,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Awareness,Bihar,None,2,240,14,low,Low
Urgent rescue operation – volunteers needed immediately,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Rescue & Evacuation,Bihar,Landslide,1,3,4,high,Critical
Website update volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Karnataka,None,3,120,10,low,Low
Admin assistance for NGO office next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Pune,None,3,240,13,medium,Low
Emergency relief – medical camp setup tonight,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Rescue & Evacuation,Karnataka,Cyclone,6,4,2,critical,Critical
Health camp registration volunteers needed Sunday,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Food & Nutrition,Pune,None,4,48,14,medium,Medium
Medical camp volunteers needed this week,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Sanitation,Odisha,Cyclone,4,30,7,medium,Medium
Library books sorting volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Food & Nutrition,Assam,None,2,120,15,medium,Medium
Social media content creation volunteer needed,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,Himachal Pradesh,None,2,120,13,low,Low
Urgent rescue operation – volunteers needed immediately,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Chennai,Flood,3,8,3,critical,Critical
Volunteers needed this weekend for donation packaging,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Bihar,None,4,72,8,medium,Medium
Food distribution volunteers needed this evening,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Pune,Flood,3,12,19,high,High
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Food & Nutrition,Pune,Cyclone,3,30,20,high,High
Awareness campaign volunteers needed this Saturday,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Food & Nutrition,West Bengal,Flood,2,96,19,medium,Medium
Life-threatening situation – rescue volunteers needed NOW,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Rescue & Evacuation,Himachal Pradesh,Earthquake,2,8,2,high,High
Donation collection drive volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Psychosocial Support,Assam,Flood,9,72,8,medium,Medium
Awareness campaign volunteers needed this Saturday,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Assam,None,3,96,14,low,Medium
Sanitation volunteers needed at relief camp,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Mumbai,None,5,12,20,medium,High
Transport volunteers for weekly supply delivery,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Chennai,Flood,2,72,12,medium,Medium
Social media content creation volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Awareness,Guwahati,None,1,504,14,low,Low
Volunteer drivers needed for medicine transport tomorrow,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Sanitation,Andhra Pradesh,Flood,3,24,14,medium,High
Donation collection drive volunteers this weekend,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Karnataka,None,8,72,15,low,High
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Mumbai,Flood,2,12,18,medium,High
Research assistant volunteer for grant writing,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Himachal Pradesh,None,3,168,10,low,Low
Fundraising preparation volunteers next week,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Education,Rajasthan,None,4,240,14,low,Low
Urgent medical volunteers needed at flood relief camp,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Madhya Pradesh,None,6,3,12,critical,Critical
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Madhya Pradesh,None,2,30,18,critical,High
Urgent: stranded flood victims need immediate help,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Chennai,Flood,6,4,13,critical,High
